DateFiled,TallyDate,City,State,RTW,MedianIncome,MinWage,InequalityIndex,UnionMembership,White,Black,Indigenous,Asian,PacificIslander,Other,Mixed,Latino,DemVotes,MarginShift,Immigrant,Address,Status,Case Name,Labor Union,Ballot Type,IsInitial,IsRevised,VotesFor,VotesAgainst,PercentVoters,NumEligibleVoters,success,Case
7/5/2022,8/19/2022,Clifton Park,NY,0,"116,844.00",13,0.5149,20.7,0.5247,0.1366,0.0027,0.0949,0.0003,0.0098,0.0357,0.1954,0.61,0.01,22.8,"309 Clifton Park Center Road, Clifton Park, New York",Unionized,Starbucks Corporation,"Rochester Regional Joint Board, Workers United",Initial,1,0,24,1,0.5555555556,45,1,03-RC-298672
7/6/2022,9/20/2022,Springfield,OR,0,"49,938.00",14,0.45,15.5,0.7165,0.0186,0.0099,0.0453,0.0043,0.0054,0.0611,0.1389,0.57,0.03,10.3,"1810 Pioneer Pkwy W., Springfield, OR",Unionized,Starbucks Corporation,WORKERS UNITED A/W SEIU,Initial,1,0,5,3,0.4444444444,18,1,19-RC-298772
7/7/2022,8/18/2022,McMurray,PA,0,"142,000.00",7,0.4745,12.7,0.7347,0.1053,0.0012,0.039,0.0002,0.0042,0.0347,0.0807,0.50,0.01,7.2,4080 Washington,Unionized,Starbucks Corporation,WORKERS UNITED,Initial,1,0,7,4,0.6111111111,18,1,06-RC-298916
7/8/2022,1/17/2023,Lafayette,LA,1,"54,139.00",7,0.4978,4.2,0.5575,0.3118,0.0056,0.0183,0.0004,0.0036,0.0335,0.0692,0.40,0.02,4.2,"4300 Ambassador Caffrey Parkway, Lafayette, Louisiana",Voted Failed,"Starbucks Corporation, LLC",WORKERS UNITED,Initial,1,0,10,10,0.8,25,0,15-RC-298956
7/11/2022,9/19/2022,Albany,NY,0,"48,512.00",13,0.5149,20.7,0.5247,0.1366,0.0027,0.0949,0.0003,0.0098,0.0357,0.1954,0.61,0.01,22.8,"1 Crossgates Mall Road, B231, in Albany, New York",Unionized,Starbucks Corporation,"Rochester Regional Joint Board, Workers United",Initial,1,0,4,1,0.3571428571,14,1,03-RC-299064
7/11/2022,9/29/2022,Albuquerque,NM,0,"53,936.00",12,0.4768,8.8,0.365,0.0181,0.0891,0.0167,0.0007,0.0049,0.0282,0.4774,0.54,0.02,9.5,"1000 Rio Grande Boulevard NW, Albuquerque, New Mexico",Unionized,Starbucks Corporation,Workers United a/w SEIU,Initial,1,0,10,7,0.4358974359,39,1,28-RC-299178
7/11/2022,9/23/2022,Easton,PA,0,"55,201.00",7,0.4745,12.7,0.7347,0.1053,0.0012,0.039,0.0002,0.0042,0.0347,0.0807,0.50,0.01,7.2,"4727 Freemansburg Ave., Easton Pennsylvania",Voted Failed,Starbucks Corporation,WORKERS UNITED,Initial,1,0,10,15,0.8064516129,31,0,04-RC-299148
7/13/2022,9/20/2022,Burbank,CA,0,"79,212.00",15,0.4866,16.1,0.3469,0.0536,0.0039,0.1512,0.0035,0.0057,0.0412,0.394,0.64,0.02,26.9,"1711 N. Victory Place, Burbank, CA",Voted Failed,Starbucks Corporation,WORKERS UNITED A/W SEIU,Initial,1,0,5,6,0.6470588235,17,0,31-RC-299294
7/15/2022,9/26/2022,San Antonio,TX,1,"53,420.00",7,0.4753,4.1,0.3975,0.1182,0.0029,0.0536,0.001,0.0039,0.0304,0.3926,0.47,0.02,17.2,"2202 Fredericksburg Road, San Antonio, Texas",Unionized,STARBUCKS CORPORATION,WORKERS UNITED,Revised,0,1,6,3,0.3103448276,29,1,16-RC-299517
7/18/2022,9/22/2022,Houston,TX,1,"53,600.00",7,0.4753,4.1,0.3975,0.1182,0.0029,0.0536,0.001,0.0039,0.0304,0.3926,0.47,0.02,17.2,"2801 S. Shepard Dr. Houston, Texas",Unionized,STARBUCKS CORPORATION,WORKERS UNITED,Initial,1,0,11,3,0.7368421053,19,1,16-RC-299559
